Server,Tasks Executed,Energy Consumed,Average Energy Consumed,Average Time
s-0-0,40504,91781852.970246,2265.99,508.748
s-0-1,39874,91781896.656196,2301.8,508.749
s-0-2,40282,91781945.532203,2278.49,508.736
s-0-3,40020,91781991.058245,2293.4,508.686
s-0-4,40282,91782039.204167,2278.49,508.733
s-0-5,39908,91782084.170279,2299.84,508.735
s-0-6,40078,91782131.856196,2290.09,508.794
s-0-7,39949,91782178.047207,2297.48,508.716
s-0-8,40156,91782225.918237,2285.64,508.771
s-0-9,39827,91782271.109203,2304.52,508.756
s-0-10,39946,91782318.540191,2297.66,508.77
s-0-11,39650,91782363.896236,2314.81,508.687
s-0-12,39969,91782412.327250,2296.34,508.729
s-0-13,40106,91782459.848228,2288.5,508.73
s-0-14,39725,91782504.779290,2310.45,508.717
s-0-15,40081,91782553.395176,2289.93,508.762
s-0-16,39774,91782598.696257,2307.6,508.75
s-0-17,40162,91782647.472167,2285.31,508.749
s-0-18,39912,91782693.058249,2299.63,508.703
s-0-19,39725,91782738.959233,2310.45,508.774
s-0-20,39580,91782785.070230,2318.92,508.702
s-0-21,39881,91782833.411263,2301.42,508.725
s-0-22,40190,91782881.792231,2283.72,508.698
s-0-23,40009,91782927.723222,2294.06,508.696
s-0-24,39923,91782974.129205,2299,508.685
s-0-25,39904,91783020.870146,2300.1,508.659
s-0-26,40369,91783070.031196,2273.6,508.763
s-0-27,39617,91783113.107296,2316.76,508.732
s-0-28,40220,91783162.958186,2282.03,508.684
s-0-29,40220,91783209.794142,2282.03,508.743
s-0-30,39735,91783254.205258,2309.88,508.7
s-0-31,40167,91783303.201250,2285.04,508.724
s-0-32,39950,91783348.952256,2297.46,508.715
s-0-33,40305,91783397.563186,2277.22,508.691
s-0-34,40037,91783443.059264,2292.47,508.726
s-0-35,39772,91783488.570239,2307.74,508.751
s-0-36,40139,91783537.241215,2286.64,508.741
s-0-37,39886,91783582.812209,2301.15,508.748
s-0-38,40386,91783632.148123,2272.66,508.752
s-0-39,39789,91783675.999242,2306.76,508.777
s-0-40,40412,91783725.950276,2271.2,508.768
s-0-41,40274,91783772.096149,2278.98,508.693
s-0-42,39905,91783817.087268,2300.06,508.755
s-0-43,39748,91783863.138337,2309.14,508.704
s-0-44,39685,91783909.659250,2312.81,508.761
s-0-45,39727,91783956.705249,2310.37,508.67
s-0-46,39951,91784004.661256,2297.41,508.709
s-0-47,40235,91784052.917170,2281.2,508.738
s-0-48,39932,91784098.238198,2298.51,508.713
s-0-49,40122,91784146.024229,2287.63,508.699

DATACENTER,TamañoMediocola,TareasMediasEnElSistema,tareas
0,0.0632165,50.0632,2000000





IoT Device,Tasks Executed,Energy Consumed,Average Energy Consumed,Average Time
iot-0-0,2000,101927805.616897,50963.9,509.639
iot-0-1,2000,101929574.976897,50964.8,509.648
iot-0-2,2000,101929991.296897,50965,509.65
iot-0-3,2000,101928482.136897,50964.2,509.642
iot-0-4,2000,101929783.238073,50964.9,509.649
iot-0-5,2000,101928065.816897,50964,509.64
iot-0-6,2000,101929418.856897,50964.7,509.647
iot-0-7,2000,101927545.416897,50963.8,509.638
iot-0-8,2000,101928638.256897,50964.3,509.643
iot-0-9,2000,101929210.696897,50964.6,509.646
iot-0-10,2000,101928534.176897,50964.3,509.643
iot-0-11,2000,101929158.656897,50964.6,509.646
iot-0-12,2000,101929366.816897,50964.7,509.647
iot-0-13,2000,101929679.056897,50964.8,509.648
iot-0-14,2000,101929002.536897,50964.5,509.645
iot-0-15,2000,101929627.016897,50964.8,509.648
iot-0-16,2000,101929054.576897,50964.5,509.645
iot-0-17,2000,101928586.216897,50964.3,509.643
iot-0-18,2000,101928950.496897,50964.5,509.645
iot-0-19,2000,101931292.296896,50965.6,509.656
iot-0-20,2000,101928794.376897,50964.4,509.644
iot-0-21,2000,101930511.696897,50965.3,509.652
iot-0-22,2000,101930928.016897,50965.5,509.655
iot-0-23,2000,101928326.016897,50964.2,509.641
iot-0-24,2000,101929887.216897,50964.9,509.649
iot-0-25,2000,101929731.096897,50964.9,509.649
iot-0-26,2000,101929522.936897,50964.8,509.647
iot-0-27,2000,101929470.896897,50964.7,509.647
iot-0-28,2000,101929106.616897,50964.6,509.645
iot-0-29,2000,101929783.136897,50964.9,509.649
iot-0-30,2000,101929835.176896,50964.9,509.649
iot-0-31,2000,101931604.536897,50965.8,509.658
iot-0-32,2000,101930667.816896,50965.3,509.653
iot-0-33,2000,101930043.336897,50965,509.65
iot-0-34,2000,101930303.536897,50965.2,509.651
iot-0-35,2000,101929939.256896,50965,509.65
iot-0-36,2000,101930199.456897,50965.1,509.651
iot-0-37,2000,101930407.616897,50965.2,509.652
iot-0-38,2000,101931500.456896,50965.8,509.657
iot-0-39,2000,101930147.416897,50965.1,509.651
iot-0-40,2000,101930563.736896,50965.3,509.653
iot-0-41,2000,101930615.776897,50965.3,509.653
iot-0-42,2000,101930980.056896,50965.5,509.655
iot-0-43,2000,101932437.176896,50966.2,509.662
iot-0-44,2000,101932124.936897,50966.1,509.66
iot-0-45,2000,101930095.376897,50965,509.65
iot-0-46,2000,101931032.096897,50965.5,509.655
iot-0-47,2000,101929731.198073,50964.9,509.649
iot-0-48,2000,101930875.976896,50965.4,509.654
iot-0-49,2000,101931396.376897,50965.7,509.657
iot-0-50,2000,101933477.976897,50966.7,509.667
iot-0-51,2000,101930459.656897,50965.2,509.652
iot-0-52,2000,101930355.576897,50965.2,509.652
iot-0-53,2000,101931656.576898,50965.8,509.658
iot-0-54,2000,101931240.256897,50965.6,509.656
iot-0-55,2000,101931552.598073,50965.8,509.658
iot-0-56,2000,101930823.936897,50965.4,509.654
iot-0-57,2000,101932437.278073,50966.2,509.662
iot-0-58,2000,101932489.216898,50966.2,509.662
iot-0-59,2000,101931812.696897,50965.9,509.659
iot-0-60,2000,101932229.016897,50966.1,509.661
iot-0-61,2000,101930251.496897,50965.1,509.651
iot-0-62,2000,101931344.336897,50965.7,509.657
iot-0-63,2000,101931968.816897,50966,509.66
iot-0-64,2000,101931760.656897,50965.9,509.659
iot-0-65,2000,101933113.696897,50966.6,509.665
iot-0-66,2000,101932072.896897,50966,509.66
iot-0-67,2000,101931136.176897,50965.6,509.656
iot-0-68,2000,101932957.576896,50966.5,509.665
iot-0-69,2000,101930719.856897,50965.4,509.653
iot-0-70,2000,101931188.216896,50965.6,509.656
iot-0-71,2000,101932853.496896,50966.4,509.664
iot-0-72,2000,101931084.136897,50965.5,509.655
iot-0-73,2000,101931708.616896,50965.9,509.658
iot-0-74,2000,101933061.656897,50966.5,509.665
iot-0-75,2000,101930771.896897,50965.4,509.654
iot-0-76,2000,101931448.416897,50965.7,509.657
iot-0-77,2000,101932593.296897,50966.3,509.663
iot-0-78,2000,101932385.136897,50966.2,509.662
iot-0-79,2000,101932229.118073,50966.1,509.661
iot-0-80,2000,101932176.976897,50966.1,509.661
iot-0-81,2000,101931916.776897,50966,509.659
iot-0-82,2000,101932697.376898,50966.3,509.663
iot-0-83,2000,101933894.296897,50966.9,509.669
iot-0-84,2000,101932905.536898,50966.5,509.664
iot-0-85,2000,101933009.616897,50966.5,509.665
iot-0-86,2000,101932541.256897,50966.3,509.663
iot-0-87,2000,101933790.318073,50966.9,509.669
iot-0-88,2000,101933321.856897,50966.7,509.666
iot-0-89,2000,101933373.896896,50966.7,509.667
iot-0-90,2000,101931864.736898,50965.9,509.659
iot-0-91,2000,101933269.816897,50966.6,509.666
iot-0-92,2000,101932749.416897,50966.4,509.664
iot-0-93,2000,101933790.216897,50966.9,509.669
iot-0-94,2000,101932645.336896,50966.3,509.663
iot-0-95,2000,101932333.096897,50966.2,509.662
iot-0-96,2000,101933998.376897,50967,509.67
iot-0-97,2000,101933946.336898,50967,509.67
iot-0-98,2000,101934570.816897,50967.3,509.673
iot-0-99,2000,101933217.776897,50966.6,509.666
iot-0-100,2000,101934154.496897,50967.1,509.671
iot-0-101,2000,101933686.136897,50966.8,509.668
iot-0-102,2000,101934310.616897,50967.2,509.671
iot-0-103,2000,101932281.056897,50966.1,509.661
iot-0-104,2000,101932801.456897,50966.4,509.664
iot-0-105,2000,101934466.736897,50967.2,509.672
iot-0-106,2000,101933634.096897,50966.8,509.668
iot-0-107,2000,101934206.536897,50967.1,509.671
iot-0-108,2000,101934102.456897,50967.1,509.67
iot-0-109,2000,101933582.056897,50966.8,509.668
iot-0-110,2000,101932020.856897,50966,509.66
iot-0-111,2000,101934622.856897,50967.3,509.673
iot-0-112,2000,101933165.736896,50966.6,509.666
iot-0-113,2000,101933738.176897,50966.9,509.669
iot-0-114,2000,101934258.576898,50967.1,509.671
iot-0-115,2000,101934987.136898,50967.5,509.675
iot-0-116,2000,101934362.656897,50967.2,509.672
