Server,Tasks Executed,Energy Consumed,Average Energy Consumed,Average Time
s-0-0,199425,84296427.626564,422.697,467.133
s-0-1,199685,84296475.756216,422.147,467.123
s-0-2,199962,84296523.981002,421.563,467.151
s-0-3,199831,84296570.157821,421.839,467.16
s-0-4,199507,84296615.377000,422.525,467.136
s-0-5,200020,84296664.777294,421.441,467.132
s-0-6,200189,84296712.454293,421.086,467.168
s-0-7,201552,84296766.107803,418.238,467.15
s-0-8,199655,84296803.456152,422.212,467.167
s-0-9,200174,84296852.890693,421.118,467.159

DATACENTER,TamañoMediocola,TareasMediasEnElSistema,tareas
0,0.424098,10.4241,2000000





IoT Device,Tasks Executed,Energy Consumed,Average Energy Consumed,Average Time
iot-0-0,2000,93636792.401837,46818.4,468.183
iot-0-1,2000,93628413.961836,46814.2,468.141
iot-0-2,2000,93633826.121837,46816.9,468.168
iot-0-3,2000,93628830.281836,46814.4,468.143
iot-0-4,2000,93623314.143012,46811.7,468.115
iot-0-5,2000,93627945.703013,46814,468.139
iot-0-6,2000,93635543.441837,46817.8,468.177
iot-0-7,2000,93650114.641838,46825.1,468.249
iot-0-8,2000,93643869.841837,46821.9,468.218
iot-0-9,2000,93615091.823012,46807.5,468.074
iot-0-10,2000,93629142.521836,46814.6,468.145
iot-0-11,2000,93647981.001838,46824,468.239
iot-0-12,2000,93627737.543013,46813.9,468.138
iot-0-13,2000,93644754.521838,46822.4,468.223
iot-0-14,2000,93651936.041838,46826,468.259
iot-0-15,2000,93628049.884189,46814,468.139
iot-0-16,2000,93618214.121836,46809.1,468.09
iot-0-17,2000,93651675.943014,46825.8,468.257
iot-0-18,2000,93630495.663013,46815.2,468.151
iot-0-19,2000,93645379.204190,46822.7,468.226
iot-0-20,2000,93652560.623015,46826.3,468.262
iot-0-21,2000,93636948.521837,46818.5,468.184
iot-0-22,2000,93646523.881838,46823.3,468.231
iot-0-23,2000,93651519.721838,46825.8,468.256
iot-0-24,2000,93631276.263013,46815.6,468.155
iot-0-25,2000,93650530.961838,46825.3,468.252
iot-0-26,2000,93636532.201837,46818.3,468.182
iot-0-27,2000,93617225.361836,46808.6,468.085
iot-0-28,2000,93635803.641837,46817.9,468.178
iot-0-29,2000,93649490.161838,46824.7,468.246
