Server,Tasks Executed,Energy Consumed,Average Energy Consumed,Average Time Execution, Waiting Time
s-0-0,9,351575.27,39063.92,345.67,3422.34
s-0-1,13,351385.78,27029.68,356.13,3018.28
s-0-2,12,351458.80,29288.23,333.70,3483.89
s-0-3,9,351636.82,39070.76,328.52,3322.51
s-0-4,8,351709.83,43963.73,324.19,3457.01
s-0-5,16,351310.35,21956.90,314.73,3468.91
s-0-6,9,351698.37,39077.60,318.38,3268.71
s-0-7,9,351718.88,39079.88,339.91,3402.02
s-0-8,12,351581.90,29298.49,313.54,3480.40
s-0-9,15,351444.92,23429.66,327.53,3426.03
s-0-10,5,351990.44,70398.09,340.09,1447.76
s-0-11,12,351643.45,29303.62,348.16,3460.50
s-0-12,10,351768.97,35176.90,330.02,3378.84
s-0-13,7,351946.99,50278.14,307.22,3483.88
s-0-14,19,351337.50,18491.45,336.56,3429.32
s-0-15,8,351935.52,43991.94,309.04,3463.16
s-0-16,9,351903.54,39100.39,360.86,3477.32
s-0-17,13,351714.05,27054.93,343.40,3302.36
s-0-18,12,351787.07,29315.59,307.73,3382.53
s-0-19,10,351912.59,35191.26,332.05,3489.84
s-0-20,17,351565.60,20680.33,358.19,3393.21
s-0-21,19,351481.12,18499.01,359.12,3321.40
s-0-22,7,352131.64,50304.52,329.18,3464.80
s-0-23,12,351889.65,29324.14,342.12,2982.82
s-0-24,11,351962.67,31996.61,344.81,3318.43
s-0-25,13,351878.19,27067.55,337.69,3301.43
s-0-26,7,352213.70,50316.24,342.63,3015.87
s-0-27,10,352076.72,35207.67,330.97,3039.37
s-0-28,5,352359.74,70471.95,343.22,3032.23
s-0-29,14,351907.75,25136.27,363.75,3384.59
s-0-30,4,352453.27,88113.32,333.85,3202.95
s-0-31,10,352158.79,35215.88,357.93,3015.72
s-0-32,13,352021.80,27078.60,349.47,2865.21
s-0-33,13,352042.32,27080.18,345.38,3439.57
s-0-34,12,352115.34,29342.94,329.43,3486.76
s-0-35,12,352135.85,29344.65,343.69,3378.64
s-0-36,13,352103.87,27084.91,339.23,3381.71
s-0-37,10,352281.89,35228.19,365.92,3293.66
s-0-38,8,352407.40,44050.93,328.95,3427.05
s-0-39,9,352375.42,39152.82,359.56,3381.30
s-0-40,9,352395.94,39155.10,324.37,3277.78
s-0-41,11,352311.46,32028.31,328.17,3395.46
s-0-42,3,352751.97,117583.99,359.00,2642.55
s-0-43,12,352299.99,29358.33,339.20,2466.51
s-0-44,13,352268.01,27097.54,331.09,2613.53
s-0-45,13,352288.52,27099.12,356.83,2973.81
s-0-46,9,352519.04,39168.78,362.05,3203.43
s-0-47,11,352434.56,32039.51,368.01,3250.80
s-0-48,14,352297.57,25164.11,343.15,3443.88
s-0-49,14,352318.09,25165.58,340.76,3422.13
s-0-50,5,352811.11,70562.22,341.96,3364.27
s-0-51,10,352569.12,35256.91,363.87,2695.49
s-0-52,7,352747.14,50392.45,348.59,3232.81
s-0-53,10,352610.16,35261.02,331.08,3389.30
s-0-54,11,352578.17,32052.56,362.71,3037.94
s-0-55,9,352703.69,39189.30,362.20,3113.81
s-0-56,6,352881.71,58813.62,356.52,3408.59
s-0-57,9,352744.72,39193.86,352.88,3357.71
s-0-58,14,352502.74,25178.77,352.95,3312.28
s-0-59,11,352680.76,32061.89,339.36,3450.44
s-0-60,6,352963.77,58827.30,367.42,1895.88
s-0-61,9,352826.79,39202.98,352.53,3484.71
s-0-62,5,353057.31,70611.46,371.86,3191.67
s-0-63,12,352710.32,29392.53,342.55,3201.17
s-0-64,7,352993.34,50427.62,344.03,3372.89
s-0-65,11,352803.86,32073.08,332.00,3323.76
s-0-66,12,352771.87,29397.66,337.43,3473.63
s-0-67,7,353054.89,50436.41,342.25,3392.79
s-0-68,11,352865.41,32078.67,311.69,3305.25
s-0-69,6,353148.42,58858.07,351.01,1994.29
s-0-70,6,353168.94,58861.49,351.97,2246.00
s-0-71,7,353136.96,50448.14,324.90,3029.99
s-0-72,14,352789.98,25199.28,369.10,3164.74
s-0-73,11,352967.99,32088.00,340.07,3399.15
s-0-74,9,353093.51,39232.61,362.62,3105.83
s-0-75,13,352904.03,27146.46,339.75,3337.60
s-0-76,9,353134.54,39237.17,346.99,3066.72
s-0-77,8,353207.56,44150.94,366.41,3402.64
s-0-78,12,353018.08,29418.17,340.91,3357.30
s-0-79,9,353196.09,39244.01,352.37,3204.81
s-0-80,6,353374.11,58895.68,318.38,3097.21
s-0-81,10,353184.63,35318.46,333.48,3389.10
s-0-82,7,353362.64,50480.38,294.95,3489.42
s-0-83,16,352910.66,22056.92,330.58,2961.62
s-0-84,11,353193.68,32108.52,344.49,3182.66
s-0-85,10,353266.69,35326.67,330.98,2964.85
s-0-86,13,353129.71,27163.82,355.22,3450.65
s-0-87,11,353255.23,32114.11,347.76,3353.40
s-0-88,14,353118.24,25222.73,325.35,3462.35
s-0-89,13,353191.26,27168.56,354.03,3096.79
s-0-90,5,353631.78,70726.36,335.45,3413.31
s-0-91,8,353494.79,44186.85,335.50,3425.21
s-0-92,10,353410.31,35341.03,332.52,3368.99
s-0-93,10,353430.83,35343.08,332.39,2806.76
