Truck, Organization, Temperature (ºC), # People, Latitude, Longitude
2, 2, 12.688554, 41, 40.426450, -3.700680
1, 2, 37.308981, 49, 40.495380, -3.725520
0, 2, 26.069799, 58, 40.404990, -3.702020
2, 1, 30.502091, 28, 40.375980, -3.657390
1, 1, 44.956981, 52, 40.438010, -3.638570
0, 1, 10.489263, 42, 40.424410, -3.675770
2, 0, 30.428469, 55, 40.486680, -3.698680
1, 0, 24.095882, 24, 40.464630, -3.808930
0, 0, 41.465894, 36, 40.459370, -3.786970
2, 2, 24.434630, 24, 40.433700, -3.704490
1, 2, 16.726859, 6, 40.491840, -3.723810
0, 2, 5.113112, 28, 40.413400, -3.693060
2, 1, 16.550065, 15, 40.376620, -3.659840
1, 1, 32.501084, 13, 40.422360, -3.651700
0, 1, 6.789179, 47, 40.411330, -3.676380
2, 0, 9.518571, 45, 40.479730, -3.702710
1, 0, 13.290267, 54, 40.467210, -3.814920
0, 0, 26.444583, 26, 40.455870, -3.784450
2, 2, 5.138323, 6, 40.445960, -3.703500
1, 2, 15.703139, 37, 40.489690, -3.716300
0, 2, 25.743827, 29, 40.437520, -3.689930
2, 1, 44.534025, 21, 40.373960, -3.670430
1, 1, 36.938975, 18, 40.412550, -3.653740
0, 1, 38.204409, 27, 40.397630, -3.682640
2, 0, 44.925674, 39, 40.482030, -3.718960
1, 0, 43.841896, 55, 40.469550, -3.816090
0, 0, 26.726595, 25, 40.448900, -3.783160
2, 2, 32.026376, 55, 40.465400, -3.691610
1, 2, 27.865579, 5, 40.482640, -3.722520
0, 2, 11.175736, 21, 40.465520, -3.689110
2, 1, 43.994602, 52, 40.380320, -3.675110
1, 1, 32.801587, 47, 40.403900, -3.664240
2, 0, 24.814183, 45, 40.475800, -3.744620
1, 0, 31.151484, 33, 40.467970, -3.794660
0, 0, 38.252915, 58, 40.451390, -3.768330
1, 2, 30.640037, 37, 40.485050, -3.708590
2, 1, 27.115875, 32, 40.392530, -3.676720
1, 1, 14.415539, 17, 40.393640, -3.677930
2, 0, 39.411849, 51, 40.468910, -3.750500
1, 0, 12.957806, 9, 40.463310, -3.784140
0, 0, 22.841783, 39, 40.449660, -3.762910
1, 2, 8.905193, 33, 40.477580, -3.712430
2, 0, 12.242221, 56, 40.450370, -3.742500
1, 0, 23.856576, 10, 40.459520, -3.751040
0, 0, 31.489544, 42, 40.434750, -3.738880
1, 2, 13.694937, 5, 40.468100, -3.708080
2, 0, 22.392887, 57, 40.437590, -3.723640
1, 0, 6.225016, 42, 40.437950, -3.724160
