Truck, Organization, Temperature (ºC), # People, Latitude, Longitude
2, 2, 12.688554, 41, 40.426450, -3.700680
1, 2, 37.308981, 49, 40.495380, -3.725520
0, 2, 26.069799, 58, 40.404990, -3.702020
2, 1, 30.502091, 28, 40.375980, -3.657390
1, 1, 44.956981, 52, 40.438010, -3.638570
0, 1, 10.489263, 42, 40.424410, -3.675770
2, 0, 30.428469, 55, 40.486680, -3.698680
1, 0, 24.095882, 24, 40.464630, -3.808930
0, 0, 41.465894, 36, 40.459370, -3.786970
2, 2, 32.367138, 45, 40.428630, -3.700110
1, 2, 29.124353, 48, 40.494080, -3.726840
0, 2, 12.128300, 25, 40.404240, -3.696530
2, 1, 24.941019, 28, 40.375270, -3.655800
1, 1, 10.529538, 60, 40.433130, -3.648220
0, 1, 42.275812, 56, 40.423460, -3.678710
2, 0, 29.883818, 9, 40.485110, -3.703460
1, 0, 24.842977, 25, 40.465360, -3.809060
0, 0, 20.773086, 19, 40.459030, -3.782620
2, 2, 7.970417, 30, 40.429900, -3.702690
1, 2, 13.904095, 52, 40.493820, -3.726820
0, 2, 39.023458, 60, 40.407260, -3.693190
2, 1, 26.469700, 33, 40.375050, -3.656410
1, 1, 40.372712, 33, 40.428640, -3.648830
0, 1, 35.657904, 58, 40.421320, -3.679930
2, 0, 21.095151, 54, 40.483930, -3.699760
1, 0, 12.641107, 42, 40.466820, -3.812060
0, 0, 19.404205, 20, 40.459560, -3.779170
2, 2, 10.199040, 19, 40.433620, -3.704040
1, 2, 28.297985, 48, 40.492690, -3.725250
0, 2, 23.105993, 58, 40.408700, -3.691610
2, 1, 36.210021, 16, 40.374970, -3.661220
1, 1, 7.506958, 56, 40.426190, -3.649230
0, 1, 30.536377, 54, 40.414800, -3.677520
2, 0, 13.869030, 51, 40.483580, -3.699330
1, 0, 30.408157, 43, 40.467110, -3.812590
0, 0, 25.096051, 28, 40.455920, -3.780640
2, 2, 41.035854, 52, 40.433700, -3.704490
1, 2, 5.189061, 60, 40.491840, -3.723810
0, 2, 22.314929, 37, 40.413400, -3.693060
2, 1, 20.228479, 27, 40.376620, -3.659840
1, 1, 39.802108, 38, 40.422360, -3.651700
0, 1, 23.107246, 8, 40.411330, -3.676380
2, 0, 19.406571, 5, 40.479730, -3.702710
1, 0, 40.814149, 18, 40.467210, -3.814920
0, 0, 33.959011, 18, 40.455870, -3.784450
2, 2, 7.704313, 50, 40.436770, -3.702790
1, 2, 37.005176, 17, 40.491790, -3.723200
0, 2, 19.436558, 45, 40.419420, -3.692530
2, 1, 24.244965, 46, 40.377690, -3.663070
1, 1, 28.190611, 57, 40.419860, -3.652530
0, 1, 6.372273, 28, 40.407620, -3.678860
2, 0, 15.196256, 56, 40.478470, -3.709010
1, 0, 8.463849, 8, 40.468460, -3.818960
0, 0, 37.185628, 38, 40.454580, -3.785410
2, 2, 23.425859, 51, 40.437040, -3.702560
1, 2, 15.702694, 36, 40.495500, -3.719720
0, 2, 8.614725, 36, 40.425850, -3.689870
2, 1, 43.169284, 57, 40.376660, -3.668160
1, 1, 28.198619, 17, 40.418730, -3.650860
0, 1, 38.288992, 54, 40.407170, -3.679040
2, 0, 38.082225, 28, 40.480700, -3.712790
1, 0, 22.884905, 40, 40.470670, -3.818350
0, 0, 25.302200, 7, 40.452130, -3.785250
2, 2, 42.746094, 46, 40.437500, -3.702710
1, 2, 20.361653, 51, 40.493780, -3.717220
0, 2, 21.203547, 59, 40.434160, -3.688200
2, 1, 35.302824, 19, 40.373420, -3.666170
1, 1, 37.487543, 17, 40.416520, -3.649930
0, 1, 29.598734, 33, 40.401390, -3.682930
2, 0, 12.168733, 29, 40.480670, -3.716220
1, 0, 14.762780, 12, 40.470690, -3.817980
0, 0, 7.583503, 11, 40.451870, -3.785250
2, 2, 36.336538, 59, 40.445960, -3.703500
1, 2, 13.111491, 33, 40.489690, -3.716300
0, 2, 20.839517, 35, 40.437520, -3.689930
2, 1, 41.410462, 54, 40.373960, -3.670430
1, 1, 40.264433, 43, 40.412550, -3.653740
0, 1, 11.584663, 24, 40.397630, -3.682640
2, 0, 13.389274, 56, 40.482030, -3.718960
1, 0, 40.730355, 33, 40.469550, -3.816090
0, 0, 24.294012, 56, 40.448900, -3.783160
2, 2, 40.756376, 44, 40.446530, -3.698660
1, 2, 10.553029, 52, 40.488550, -3.719030
0, 2, 20.095087, 34, 40.441810, -3.691260
2, 1, 42.824330, 23, 40.375750, -3.669890
1, 1, 34.332727, 52, 40.408750, -3.657230
0, 1, 42.032743, 38, 40.392790, -3.677260
2, 0, 24.114485, 40, 40.478930, -3.726000
1, 0, 7.602541, 56, 40.469330, -3.811330
0, 0, 18.988517, 22, 40.452450, -3.779740
2, 2, 8.466856, 41, 40.452220, -3.693200
1, 2, 36.669013, 47, 40.488180, -3.719160
0, 2, 37.516067, 31, 40.448360, -3.690960
2, 1, 28.064042, 49, 40.376950, -3.671400
1, 1, 19.444746, 11, 40.407030, -3.658820
0, 1, 22.743885, 49, 40.392560, -3.676830
2, 0, 19.215483, 58, 40.476780, -3.733340
1, 0, 7.391992, 11, 40.468880, -3.805410
0, 0, 16.945541, 11, 40.452440, -3.778710
2, 2, 5.813897, 59, 40.460230, -3.691870
1, 2, 18.428491, 30, 40.485540, -3.724420
0, 2, 44.476702, 22, 40.458220, -3.690030
2, 1, 19.044344, 8, 40.378390, -3.673650
1, 1, 36.893485, 35, 40.404880, -3.659760
0, 1, 23.863144, 9, 40.392950, -3.677080
2, 0, 34.520931, 44, 40.476850, -3.740680
1, 0, 38.160580, 5, 40.468900, -3.801060
0, 0, 17.983655, 53, 40.451480, -3.773610
2, 2, 7.177499, 11, 40.465400, -3.691610
1, 2, 38.159524, 32, 40.482640, -3.722520
0, 2, 26.948330, 53, 40.465520, -3.689110
2, 1, 33.718028, 29, 40.380320, -3.675110
1, 1, 41.263016, 49, 40.403900, -3.664240
2, 0, 11.757586, 41, 40.475800, -3.744620
1, 0, 28.433860, 6, 40.467970, -3.794660
0, 0, 21.928373, 54, 40.451390, -3.768330
2, 2, 26.496292, 37, 40.465830, -3.688850
1, 2, 42.332443, 34, 40.479940, -3.723770
2, 1, 7.978314, 20, 40.384880, -3.670550
1, 1, 42.858458, 21, 40.398780, -3.668400
2, 0, 44.265499, 50, 40.474800, -3.748560
1, 0, 37.512858, 21, 40.467250, -3.789540
0, 0, 15.664795, 8, 40.451460, -3.768000
1, 2, 22.226475, 53, 40.482700, -3.715960
2, 1, 9.749381, 32, 40.387650, -3.671610
1, 1, 7.248930, 25, 40.398750, -3.669140
2, 0, 23.185942, 28, 40.476190, -3.751350
1, 0, 9.373788, 22, 40.466490, -3.788520
0, 0, 20.415102, 23, 40.452940, -3.767400
1, 2, 40.878807, 38, 40.484690, -3.710700
2, 1, 24.433982, 27, 40.390470, -3.672450
1, 1, 31.131483, 30, 40.395330, -3.674360
2, 0, 40.136681, 45, 40.472700, -3.751220
1, 0, 20.745292, 26, 40.464610, -3.784830
0, 0, 36.650439, 25, 40.453050, -3.765510
1, 2, 20.289156, 26, 40.485050, -3.708590
2, 1, 40.145757, 22, 40.392530, -3.676720
1, 1, 14.823338, 22, 40.393640, -3.677930
2, 0, 39.115999, 44, 40.468910, -3.750500
1, 0, 40.475427, 23, 40.463310, -3.784140
0, 0, 18.961030, 43, 40.449660, -3.762910
1, 2, 8.330676, 24, 40.482320, -3.705610
2, 0, 23.459457, 36, 40.464440, -3.748790
1, 0, 9.314012, 33, 40.462900, -3.783770
0, 0, 44.830771, 36, 40.446610, -3.756690
1, 2, 39.181915, 49, 40.480350, -3.704650
2, 0, 18.228035, 34, 40.459210, -3.745320
1, 0, 15.093846, 33, 40.462990, -3.779290
0, 0, 38.575529, 56, 40.442520, -3.748130
1, 2, 25.655787, 18, 40.478970, -3.706680
2, 0, 35.914731, 31, 40.454170, -3.743560
1, 0, 15.216784, 39, 40.461250, -3.764020
0, 0, 22.941663, 59, 40.437600, -3.741690
1, 2, 36.522650, 14, 40.477580, -3.712430
2, 0, 31.619775, 32, 40.450370, -3.742500
1, 0, 44.229641, 36, 40.459520, -3.751040
0, 0, 40.549075, 41, 40.434750, -3.738880
1, 2, 37.917809, 24, 40.473140, -3.711930
2, 0, 37.952631, 10, 40.450280, -3.741060
1, 0, 15.360080, 6, 40.455650, -3.745480
0, 0, 19.638821, 33, 40.434230, -3.734230
1, 2, 23.181520, 22, 40.470570, -3.711660
2, 0, 39.877466, 18, 40.448820, -3.736590
1, 0, 9.323267, 44, 40.449040, -3.736920
0, 0, 37.221657, 23, 40.436020, -3.726710
1, 2, 31.641499, 41, 40.468710, -3.709780
2, 0, 27.394658, 59, 40.442950, -3.731240
1, 0, 18.457253, 29, 40.443040, -3.731310
0, 0, 23.216525, 5, 40.436620, -3.722000
1, 2, 39.526942, 13, 40.468100, -3.708080
2, 0, 11.924954, 16, 40.437590, -3.723640
