timestamp,latitude,longitude,speed,heading,occupancy
0,40.4287,-3.669,7.5,0.0,74.7
1,40.428661,-3.669073,7.5,235.1,74.7
2,40.428623,-3.669145,7.5,235.1,74.7
3,40.428584,-3.669218,7.5,235.1,74.6
4,40.428546,-3.669291,7.5,235.1,74.6
5,40.428507,-3.669363,7.5,235.1,74.6
6,40.428469,-3.669436,7.5,235.1,74.6
7,40.42843,-3.669508,7.5,235.1,74.6
8,40.428392,-3.669581,7.5,235.1,74.5
9,40.428353,-3.669654,7.5,235.1,74.5
10,40.428315,-3.669726,7.5,235.1,74.5
11,40.428276,-3.669799,7.5,235.1,74.5
12,40.428238,-3.669872,7.5,235.1,74.4
13,40.428199,-3.669944,7.5,235.1,74.4
14,40.428161,-3.670017,7.5,235.1,74.4
15,40.428122,-3.670089,7.5,235.1,74.4
16,40.428084,-3.670162,7.5,235.1,74.3
17,40.428045,-3.670235,7.5,235.1,74.3
18,40.428007,-3.670307,7.5,235.1,74.3
19,40.427968,-3.67038,7.5,235.1,74.2
20,40.42793,-3.670453,7.5,235.1,74.2
21,40.427891,-3.670525,7.5,235.1,74.2
22,40.427853,-3.670598,7.5,235.1,74.1
23,40.427814,-3.670671,7.5,235.1,74.1
24,40.427776,-3.670743,7.5,235.1,74.1
25,40.427737,-3.670816,7.5,235.1,74.1
26,40.427699,-3.670888,7.5,235.1,74.0
27,40.42766,-3.670961,7.5,235.1,74.0
28,40.427622,-3.671034,7.5,235.1,73.9
29,40.427583,-3.671106,7.5,235.1,73.9
30,40.427545,-3.671179,7.5,235.1,73.9
31,40.427506,-3.671252,7.5,235.1,73.8
32,40.427468,-3.671324,7.5,235.1,73.8
33,40.427429,-3.671397,7.5,235.1,73.8
34,40.427391,-3.671469,7.5,235.1,73.7
35,40.427352,-3.671542,7.5,235.1,73.7
36,40.427314,-3.671615,7.5,235.1,73.6
37,40.427275,-3.671687,7.5,235.1,73.6
38,40.427237,-3.67176,7.5,235.1,73.6
39,40.427198,-3.671833,7.5,235.1,73.5
40,40.42716,-3.671905,7.5,235.1,73.5
41,40.427121,-3.671978,7.5,235.1,73.4
42,40.427083,-3.67205,7.5,235.1,73.4
43,40.427044,-3.672123,7.5,235.1,73.3
44,40.427006,-3.672196,7.5,235.1,73.3
45,40.426967,-3.672268,7.5,235.1,73.3
46,40.426929,-3.672341,7.5,235.1,73.2
47,40.42689,-3.672414,7.5,235.1,73.2
48,40.426852,-3.672486,7.5,235.1,73.1
49,40.426813,-3.672559,7.5,235.1,73.1
50,40.426775,-3.672632,7.5,235.1,73.0
51,40.426736,-3.672704,7.5,235.1,73.0
52,40.426698,-3.672777,7.5,235.1,72.9
53,40.426659,-3.672849,7.5,235.1,72.9
54,40.426621,-3.672922,7.5,235.1,72.8
55,40.426582,-3.672995,7.5,235.1,72.8
56,40.426544,-3.673067,7.5,235.1,72.7
57,40.426505,-3.67314,7.5,235.1,72.7
58,40.426467,-3.673213,7.5,235.1,72.6
59,40.426428,-3.673285,7.5,235.1,72.6
60,40.42639,-3.673358,7.5,235.1,72.5
61,40.426351,-3.67343,7.5,235.1,72.5
62,40.426313,-3.673503,7.5,235.1,72.4
63,40.426274,-3.673576,7.5,235.1,72.3
64,40.426236,-3.673648,7.5,235.1,72.3
65,40.426197,-3.673721,7.5,235.1,72.2
66,40.426159,-3.673794,7.5,235.1,72.2
67,40.42612,-3.673866,7.5,235.1,72.1
68,40.426082,-3.673939,7.5,235.1,72.1
