timestamp,latitude,longitude,speed,heading,altitude,battery
0,40.431,-3.729,13.0,0.0,80.0,100.0
1,40.430901,-3.728918,13.0,147.5,80.3,100.0
2,40.430803,-3.728835,13.0,147.5,80.6,99.9
3,40.430704,-3.728753,13.0,147.5,80.8,99.9
4,40.430606,-3.72867,13.0,147.5,81.1,99.8
5,40.430507,-3.728588,13.0,147.5,81.4,99.8
6,40.430409,-3.728506,13.0,147.5,81.7,99.8
7,40.43031,-3.728423,13.0,147.5,81.9,99.7
8,40.430212,-3.728341,13.0,147.5,82.2,99.7
9,40.430113,-3.728258,13.0,147.5,82.5,99.6
10,40.430015,-3.728176,13.0,147.5,82.8,99.6
11,40.429916,-3.728094,13.0,147.5,83.0,99.6
12,40.429818,-3.728011,13.0,147.5,83.3,99.5
13,40.429719,-3.727929,13.0,147.5,83.6,99.5
14,40.429621,-3.727846,13.0,147.5,83.9,99.4
15,40.429522,-3.727764,13.0,147.5,84.1,99.4
16,40.429424,-3.727682,13.0,147.5,84.4,99.4
17,40.429325,-3.727599,13.0,147.5,84.7,99.3
18,40.429227,-3.727517,13.0,147.5,85.0,99.3
19,40.429128,-3.727434,13.0,147.5,85.2,99.2
20,40.42903,-3.727352,13.0,147.5,85.5,99.2
21,40.428931,-3.72727,13.0,147.5,85.8,99.2
22,40.428833,-3.727187,13.0,147.5,86.1,99.1
23,40.428734,-3.727105,13.0,147.5,86.3,99.1
24,40.428636,-3.727022,13.0,147.5,86.6,99.0
25,40.428537,-3.72694,13.0,147.5,86.9,99.0
26,40.428439,-3.726858,13.0,147.5,87.1,99.0
27,40.42834,-3.726775,13.0,147.5,87.4,98.9
28,40.428242,-3.726693,13.0,147.5,87.7,98.9
29,40.428143,-3.72661,13.0,147.5,87.9,98.8
30,40.428045,-3.726528,13.0,147.5,88.2,98.8
31,40.427946,-3.726445,13.0,147.5,88.4,98.8
32,40.427848,-3.726363,13.0,147.5,88.7,98.7
33,40.427749,-3.726281,13.0,147.5,89.0,98.7
34,40.427651,-3.726198,13.0,147.5,89.2,98.6
35,40.427552,-3.726116,13.0,147.5,89.5,98.6
36,40.427454,-3.726033,13.0,147.5,89.7,98.6
37,40.427355,-3.725951,13.0,147.5,90.0,98.5
38,40.427257,-3.725869,13.0,147.5,90.2,98.5
39,40.427158,-3.725786,13.0,147.5,90.5,98.4
40,40.42706,-3.725704,13.0,147.5,90.7,98.4
41,40.426961,-3.725621,13.0,147.5,91.0,98.4
42,40.426863,-3.725539,13.0,147.5,91.2,98.3
43,40.426764,-3.725457,13.0,147.5,91.5,98.3
44,40.426666,-3.725374,13.0,147.5,91.7,98.2
45,40.426567,-3.725292,13.0,147.5,92.0,98.2
46,40.426469,-3.725209,13.0,147.5,92.2,98.2
47,40.42637,-3.725127,13.0,147.5,92.5,98.1
48,40.426272,-3.725045,13.0,147.5,92.7,98.1
49,40.426173,-3.724962,13.0,147.5,92.9,98.0
50,40.426075,-3.72488,13.0,147.5,93.2,98.0
51,40.425976,-3.724797,13.0,147.5,93.4,98.0
52,40.425878,-3.724715,13.0,147.5,93.7,97.9
53,40.425779,-3.724633,13.0,147.5,93.9,97.9
54,40.425681,-3.72455,13.0,147.5,94.1,97.8
55,40.425582,-3.724468,13.0,147.5,94.3,97.8
