timestamp,latitude,longitude,speed,heading,altitude,battery
0,40.42,-3.6884,12.0,0.0,80.0,100.0
1,40.420042,-3.688269,12.0,67.3,80.3,100.0
2,40.420083,-3.688139,12.0,67.3,80.6,99.9
3,40.420125,-3.688008,12.0,67.3,80.8,99.9
4,40.420167,-3.687878,12.0,67.3,81.1,99.8
5,40.420208,-3.687747,12.0,67.3,81.4,99.8
6,40.42025,-3.687616,12.0,67.3,81.7,99.8
7,40.420292,-3.687486,12.0,67.3,81.9,99.7
8,40.420333,-3.687355,12.0,67.3,82.2,99.7
9,40.420375,-3.687225,12.0,67.3,82.5,99.6
10,40.420417,-3.687094,12.0,67.3,82.8,99.6
11,40.420458,-3.686964,12.0,67.3,83.0,99.6
12,40.4205,-3.686833,12.0,67.3,83.3,99.5
13,40.420542,-3.686702,12.0,67.3,83.6,99.5
14,40.420583,-3.686572,12.0,67.3,83.9,99.4
15,40.420625,-3.686441,12.0,67.3,84.1,99.4
16,40.420667,-3.686311,12.0,67.3,84.4,99.4
17,40.420708,-3.68618,12.0,67.3,84.7,99.3
18,40.42075,-3.686049,12.0,67.3,85.0,99.3
19,40.420792,-3.685919,12.0,67.3,85.2,99.2
20,40.420834,-3.685788,12.0,67.3,85.5,99.2
21,40.420875,-3.685658,12.0,67.3,85.8,99.2
22,40.420917,-3.685527,12.0,67.3,86.1,99.1
23,40.420959,-3.685397,12.0,67.3,86.3,99.1
24,40.421,-3.685266,12.0,67.3,86.6,99.0
25,40.421042,-3.685135,12.0,67.3,86.9,99.0
26,40.421084,-3.685005,12.0,67.3,87.1,99.0
27,40.421125,-3.684874,12.0,67.3,87.4,98.9
28,40.421167,-3.684744,12.0,67.3,87.7,98.9
29,40.421209,-3.684613,12.0,67.3,87.9,98.8
30,40.42125,-3.684482,12.0,67.3,88.2,98.8
31,40.421292,-3.684352,12.0,67.3,88.4,98.8
32,40.421334,-3.684221,12.0,67.3,88.7,98.7
33,40.421375,-3.684091,12.0,67.3,89.0,98.7
34,40.421417,-3.68396,12.0,67.3,89.2,98.6
35,40.421459,-3.68383,12.0,67.3,89.5,98.6
36,40.4215,-3.683699,12.0,67.3,89.7,98.6
37,40.421542,-3.683568,12.0,67.3,90.0,98.5
38,40.421584,-3.683438,12.0,67.3,90.2,98.5
39,40.421625,-3.683307,12.0,67.3,90.5,98.4
40,40.421667,-3.683177,12.0,67.3,90.7,98.4
41,40.421709,-3.683046,12.0,67.3,91.0,98.4
42,40.42175,-3.682915,12.0,67.3,91.2,98.3
43,40.421792,-3.682785,12.0,67.3,91.5,98.3
44,40.421834,-3.682654,12.0,67.3,91.7,98.2
45,40.421875,-3.682524,12.0,67.3,92.0,98.2
46,40.421917,-3.682393,12.0,67.3,92.2,98.2
47,40.421959,-3.682263,12.0,67.3,92.5,98.1
48,40.422,-3.682132,12.0,67.3,92.7,98.1
49,40.422042,-3.682001,12.0,67.3,92.9,98.0
50,40.422084,-3.681871,12.0,67.3,93.2,98.0
51,40.422125,-3.68174,12.0,67.3,93.4,98.0
52,40.422167,-3.68161,12.0,67.3,93.7,97.9
53,40.422209,-3.681479,12.0,67.3,93.9,97.9
54,40.42225,-3.681348,12.0,67.3,94.1,97.8
55,40.422292,-3.681218,12.0,67.3,94.3,97.8
56,40.422334,-3.681087,12.0,67.3,94.6,97.8
57,40.422376,-3.680957,12.0,67.3,94.8,97.7
58,40.422417,-3.680826,12.0,67.3,95.0,97.7
59,40.422459,-3.680696,12.0,67.3,95.2,97.6
60,40.422501,-3.680565,12.0,67.3,95.5,97.6
61,40.422542,-3.680434,12.0,67.3,95.7,97.6
62,40.422584,-3.680304,12.0,67.3,95.9,97.5
63,40.422626,-3.680173,12.0,67.3,96.1,97.5
64,40.422667,-3.680043,12.0,67.3,96.3,97.4
65,40.422709,-3.679912,12.0,67.3,96.5,97.4
66,40.422751,-3.679781,12.0,67.3,96.7,97.4
67,40.422792,-3.679651,12.0,67.3,96.9,97.3
68,40.422834,-3.67952,12.0,67.3,97.1,97.3
69,40.422876,-3.67939,12.0,67.3,97.3,97.2
70,40.422917,-3.679259,12.0,67.3,97.5,97.2
71,40.422959,-3.679129,12.0,67.3,97.7,97.2
72,40.422998,-3.679,11.74,68.1,97.9,97.1
73,40.422891,-3.679,12.0,180.0,98.1,97.1
74,40.422783,-3.679,12.0,180.0,98.3,97.0
75,40.422675,-3.679,12.0,180.0,98.5,97.0
76,40.422567,-3.679,12.0,180.0,98.7,97.0
77,40.422459,-3.679,12.0,180.0,98.9,96.9
78,40.422352,-3.679,12.0,180.0,99.1,96.9
79,40.422244,-3.679,12.0,180.0,99.2,96.8
80,40.422136,-3.679,12.0,180.0,99.4,96.8
81,40.422028,-3.679,12.0,180.0,99.6,96.8
82,40.42192,-3.679,12.0,180.0,99.8,96.7
83,40.421813,-3.679,12.0,180.0,99.9,96.7
84,40.421705,-3.679,12.0,180.0,100.1,96.6
85,40.421597,-3.679,12.0,180.0,100.3,96.6
86,40.421489,-3.679,12.0,180.0,100.4,96.6
87,40.421381,-3.679,12.0,180.0,100.6,96.5
88,40.421274,-3.679,12.0,180.0,100.7,96.5
89,40.421166,-3.679,12.0,180.0,100.9,96.4
90,40.421058,-3.679,12.0,180.0,101.0,96.4
91,40.42095,-3.679,12.0,180.0,101.2,96.4
92,40.420842,-3.679,12.0,180.0,101.3,96.3
93,40.420735,-3.679,12.0,180.0,101.5,96.3
94,40.420627,-3.679,12.0,180.0,101.6,96.2
95,40.420519,-3.679,12.0,180.0,101.8,96.2
96,40.420411,-3.679,12.0,180.0,101.9,96.2
97,40.420303,-3.679,12.0,180.0,102.0,96.1
98,40.420196,-3.679,12.0,180.0,102.2,96.1
99,40.420088,-3.679,12.0,180.0,102.3,96.0
100,40.41998,-3.679,12.0,180.0,102.4,96.0
101,40.419872,-3.679,12.0,180.0,102.5,96.0
102,40.419764,-3.679,12.0,180.0,102.6,95.9
103,40.419657,-3.679,12.0,180.0,102.8,95.9
104,40.419549,-3.679,12.0,180.0,102.9,95.8
105,40.419441,-3.679,12.0,180.0,103.0,95.8
106,40.419333,-3.679,12.0,180.0,103.1,95.8
107,40.419225,-3.679,12.0,180.0,103.2,95.7
108,40.419118,-3.679,12.0,180.0,103.3,95.7
109,40.41901,-3.679,12.0,180.0,103.4,95.6
110,40.418902,-3.679,12.0,180.0,103.5,95.6
111,40.418794,-3.679,12.0,180.0,103.6,95.6
112,40.418686,-3.679,12.0,180.0,103.7,95.5
113,40.418579,-3.679,12.0,180.0,103.8,95.5
114,40.418471,-3.679,12.0,180.0,103.9,95.4
115,40.418363,-3.679,12.0,180.0,103.9,95.4
116,40.418255,-3.679,12.0,180.0,104.0,95.4
117,40.418147,-3.679,12.0,180.0,104.1,95.3
118,40.41804,-3.679,12.0,180.0,104.2,95.3
119,40.417932,-3.679,12.0,180.0,104.2,95.2
120,40.417824,-3.679,12.0,180.0,104.3,95.2
121,40.417716,-3.679,12.0,180.0,104.4,95.2
122,40.417608,-3.679,12.0,180.0,104.4,95.1
123,40.417501,-3.679,12.0,180.0,104.5,95.1
124,40.417393,-3.679,12.0,180.0,104.5,95.0
125,40.417285,-3.679,12.0,180.0,104.6,95.0
126,40.417177,-3.679,12.0,180.0,104.6,95.0
127,40.417069,-3.679,12.0,180.0,104.7,94.9
128,40.416962,-3.679,12.0,180.0,104.7,94.9
129,40.416854,-3.679,12.0,180.0,104.8,94.8
130,40.416746,-3.679,12.0,180.0,104.8,94.8
131,40.416638,-3.679,12.0,180.0,104.8,94.8
132,40.41653,-3.679,12.0,180.0,104.9,94.7
133,40.416423,-3.679,12.0,180.0,104.9,94.7
134,40.416315,-3.679,12.0,180.0,104.9,94.6
135,40.416207,-3.679,12.0,180.0,104.9,94.6
136,40.416099,-3.679,12.0,180.0,105.0,94.6
137,40.415991,-3.679,12.0,180.0,105.0,94.5
138,40.415884,-3.679,12.0,180.0,105.0,94.5
139,40.415776,-3.679,12.0,180.0,105.0,94.4
