timestamp,latitude,longitude,speed,heading,occupancy
0,40.4726,-3.6825,15.0,0.0,74.8
1,40.472493,-3.682608,15.0,217.7,74.9
2,40.472387,-3.682717,15.0,217.7,75.0
3,40.47228,-3.682825,15.0,217.7,75.1
4,40.472174,-3.682933,15.0,217.7,75.2
5,40.472067,-3.683042,15.0,217.7,75.4
6,40.47196,-3.68315,15.0,217.7,75.5
7,40.471854,-3.683258,15.0,217.7,75.6
8,40.471747,-3.683367,15.0,217.7,75.7
9,40.471641,-3.683475,15.0,217.7,75.8
10,40.471534,-3.683583,15.0,217.7,75.9
11,40.471427,-3.683692,15.0,217.7,76.1
12,40.471321,-3.6838,15.0,217.7,76.2
13,40.471214,-3.683909,15.0,217.7,76.3
14,40.471108,-3.684017,15.0,217.7,76.4
15,40.471001,-3.684125,15.0,217.7,76.5
16,40.470894,-3.684234,15.0,217.7,76.6
17,40.470788,-3.684342,15.0,217.7,76.8
18,40.470681,-3.68445,15.0,217.7,76.9
19,40.470575,-3.684559,15.0,217.7,77.0
20,40.470468,-3.684667,15.0,217.7,77.1
21,40.470361,-3.684775,15.0,217.7,77.2
22,40.470255,-3.684884,15.0,217.7,77.3
23,40.470148,-3.684992,15.0,217.7,77.4
24,40.470042,-3.6851,15.0,217.7,77.5
25,40.469935,-3.685209,15.0,217.7,77.7
26,40.469828,-3.685317,15.0,217.7,77.8
27,40.469722,-3.685425,15.0,217.7,77.9
28,40.469615,-3.685534,15.0,217.7,78.0
29,40.469509,-3.685642,15.0,217.7,78.1
30,40.469402,-3.68575,15.0,217.7,78.2
31,40.469295,-3.685859,15.0,217.7,78.3
32,40.469189,-3.685967,15.0,217.7,78.4
33,40.469082,-3.686075,15.0,217.7,78.5
34,40.468976,-3.686184,15.0,217.7,78.6
35,40.468869,-3.686292,15.0,217.7,78.8
36,40.468762,-3.6864,15.0,217.7,78.9
37,40.468656,-3.686509,15.0,217.7,79.0
38,40.468549,-3.686617,15.0,217.7,79.1
39,40.468443,-3.686726,15.0,217.7,79.2
40,40.468336,-3.686834,15.0,217.7,79.3
41,40.468229,-3.686942,15.0,217.7,79.4
42,40.468123,-3.687051,15.0,217.7,79.5
43,40.468016,-3.687159,15.0,217.7,79.6
44,40.46791,-3.687267,15.0,217.7,79.7
45,40.467803,-3.687376,15.0,217.7,79.8
46,40.467696,-3.687484,15.0,217.7,79.9
47,40.46759,-3.687592,15.0,217.7,80.0
48,40.467483,-3.687701,15.0,217.7,80.1
49,40.467377,-3.687809,15.0,217.7,80.2
50,40.46727,-3.687917,15.0,217.7,80.3
51,40.467163,-3.688026,15.0,217.7,80.4
52,40.467057,-3.688134,15.0,217.7,80.5
53,40.46695,-3.688242,15.0,217.7,80.6
54,40.466844,-3.688351,15.0,217.7,80.7
55,40.466737,-3.688459,15.0,217.7,80.8
