timestamp,latitude,longitude,speed,heading,pax_load,delay_s
0,48.84044,2.31975,88.0,0.0,93.7,117.0
1,48.839692,2.319359,88.0,199.0,93.7,117.0
2,48.838945,2.318969,88.0,199.0,93.7,117.0
3,48.838197,2.318578,88.0,199.0,93.8,117.0
4,48.83745,2.318187,88.0,199.0,93.8,117.0
5,48.836702,2.317796,88.0,199.0,93.8,117.0
6,48.835955,2.317406,88.0,199.0,93.8,117.0
7,48.835207,2.317015,88.0,199.0,93.8,117.0
8,48.83446,2.316624,88.0,199.0,93.8,117.0
9,48.833712,2.316234,88.0,199.0,93.8,117.0
10,48.832965,2.315843,88.0,199.0,93.8,117.0
11,48.832217,2.315452,88.0,199.0,93.8,117.0
12,48.83147,2.315061,88.0,199.0,93.8,117.0
13,48.830722,2.314671,88.0,199.0,93.9,117.0
14,48.829975,2.31428,88.0,199.0,93.9,117.0
15,48.829227,2.313889,88.0,199.0,93.9,117.0
16,48.82848,2.313499,88.0,199.0,93.9,117.0
17,48.827732,2.313108,88.0,199.0,93.9,117.0
18,48.826985,2.312717,88.0,199.0,93.9,117.0
19,48.826237,2.312327,88.0,199.0,93.9,117.0
20,48.82549,2.311936,88.0,199.0,93.9,117.0
21,48.824742,2.311545,88.0,199.0,93.9,117.0
22,48.823995,2.311154,88.0,199.0,93.9,117.0
23,48.823247,2.310764,88.0,199.0,94.0,117.0
24,48.8225,2.310373,88.0,199.0,94.0,117.0
25,48.821752,2.309982,88.0,199.0,94.0,117.0
26,48.821004,2.309592,88.0,199.0,94.0,117.0
27,48.820257,2.309201,88.0,199.0,94.0,117.0
28,48.819509,2.30881,88.0,199.0,94.0,117.0
29,48.818762,2.308419,88.0,199.0,94.0,117.0
30,48.818014,2.308029,88.0,199.0,94.0,117.0
31,48.817267,2.307638,88.0,199.0,94.0,117.0
32,48.816519,2.307247,88.0,199.0,94.0,117.0
33,48.815772,2.306857,88.0,199.0,94.0,117.0
34,48.815024,2.306466,88.0,199.0,94.1,117.0
35,48.814277,2.306075,88.0,199.0,94.1,117.0
36,48.813529,2.305684,88.01,199.0,94.1,117.0
37,48.812782,2.305294,88.01,199.0,94.1,117.0
38,48.812034,2.304903,88.01,199.0,94.1,117.0
39,48.811287,2.304512,88.01,199.0,94.1,117.0
40,48.810539,2.304122,88.01,199.0,94.1,117.0
41,48.809792,2.303731,88.01,199.0,94.1,117.0
42,48.809044,2.30334,88.01,199.0,94.1,117.0
43,48.808297,2.302949,88.01,199.0,94.1,117.0
44,48.807549,2.302559,88.01,199.0,94.1,117.0
45,48.806802,2.302168,88.01,199.0,94.2,117.0
46,48.806054,2.301777,88.01,199.0,94.2,117.0
47,48.805307,2.301387,88.01,199.0,94.2,117.0
48,48.804559,2.300996,88.01,199.0,94.2,117.0
49,48.803812,2.300605,88.01,199.0,94.2,117.0
50,48.803064,2.300215,88.01,199.0,94.2,117.0
51,48.802316,2.299824,88.01,199.0,94.2,117.0
52,48.801569,2.299433,88.01,199.0,94.2,117.0
53,48.800821,2.299042,88.01,199.0,94.2,117.0
54,48.800074,2.298652,88.01,199.0,94.2,117.0
55,48.799326,2.298261,88.01,199.0,94.2,117.0
56,48.798579,2.29787,88.01,199.0,94.2,118.0
57,48.797831,2.29748,88.01,199.0,94.2,118.0
