timestamp,latitude,longitude,speed,heading,pax_load,delay_s
0,48.8766,2.3591,87.0,0.0,51.1,7.0
1,48.876834,2.360234,87.0,72.6,51.0,7.0
2,48.877068,2.361368,87.0,72.6,51.0,7.0
3,48.877302,2.362501,87.0,72.6,50.9,7.0
4,48.877536,2.363635,87.0,72.6,50.9,7.0
5,48.87777,2.364769,87.0,72.6,50.9,7.0
6,48.878004,2.365903,87.0,72.6,50.8,7.0
7,48.878238,2.367036,87.0,72.6,50.8,7.0
8,48.878473,2.36817,87.0,72.6,50.8,7.0
9,48.878707,2.369304,87.0,72.6,50.7,7.0
10,48.878941,2.370438,87.0,72.6,50.7,6.0
11,48.879175,2.371571,87.0,72.6,50.6,6.0
12,48.879409,2.372705,87.0,72.6,50.6,6.0
13,48.879643,2.373839,87.0,72.6,50.6,6.0
14,48.879877,2.374973,86.99,72.6,50.5,6.0
15,48.880111,2.376106,86.99,72.6,50.5,6.0
16,48.880345,2.37724,86.99,72.6,50.5,6.0
17,48.880579,2.378374,86.99,72.6,50.4,6.0
18,48.880813,2.379508,86.99,72.6,50.4,6.0
19,48.881047,2.380641,86.99,72.6,50.3,6.0
20,48.881281,2.381775,86.99,72.6,50.3,6.0
21,48.881515,2.382909,86.99,72.6,50.3,6.0
22,48.88175,2.384043,86.99,72.6,50.2,6.0
23,48.881984,2.385177,86.99,72.6,50.2,6.0
24,48.882218,2.38631,86.99,72.6,50.2,6.0
25,48.882452,2.387444,86.99,72.6,50.1,6.0
26,48.882686,2.388578,86.99,72.6,50.1,6.0
27,48.88292,2.389712,86.99,72.6,50.0,6.0
28,48.883154,2.390845,86.99,72.6,50.0,5.0
29,48.883388,2.391979,86.99,72.6,50.0,5.0
30,48.883622,2.393113,86.99,72.6,49.9,5.0
31,48.883856,2.394247,86.99,72.6,49.9,5.0
32,48.88409,2.39538,86.99,72.6,49.9,5.0
33,48.884324,2.396514,86.99,72.6,49.8,5.0
34,48.884558,2.397648,86.99,72.6,49.8,5.0
