timestamp,latitude,longitude,speed,heading,pax_load,delay_s
0,48.88094,2.35528,83.0,0.0,90.2,108.0
1,48.88165,2.355627,83.0,17.8,90.2,108.0
2,48.88236,2.355974,83.0,17.8,90.2,108.0
3,48.88307,2.356321,83.0,17.8,90.2,108.0
4,48.883779,2.356668,83.0,17.8,90.1,108.0
5,48.884489,2.357014,83.0,17.8,90.1,108.0
6,48.885199,2.357361,83.0,17.8,90.1,108.0
7,48.885909,2.357708,83.0,17.8,90.1,107.0
8,48.886619,2.358055,83.0,17.8,90.1,107.0
9,48.887329,2.358402,83.0,17.8,90.0,107.0
10,48.888038,2.358749,83.0,17.8,90.0,107.0
11,48.888748,2.359096,83.0,17.8,90.0,107.0
12,48.889458,2.359443,83.0,17.8,90.0,107.0
13,48.890168,2.359789,83.0,17.8,90.0,107.0
14,48.890878,2.360136,83.0,17.8,89.9,107.0
15,48.891588,2.360483,83.0,17.8,89.9,107.0
16,48.892298,2.36083,83.0,17.8,89.9,107.0
17,48.893007,2.361177,83.0,17.8,89.9,107.0
18,48.893717,2.361524,83.0,17.8,89.9,107.0
19,48.894427,2.361871,83.0,17.8,89.8,107.0
20,48.895137,2.362218,83.0,17.8,89.8,107.0
21,48.895847,2.362564,83.0,17.8,89.8,107.0
22,48.896557,2.362911,83.0,17.8,89.8,107.0
23,48.897266,2.363258,83.0,17.8,89.8,107.0
24,48.897976,2.363605,83.0,17.8,89.7,107.0
25,48.898686,2.363952,83.0,17.8,89.7,107.0
26,48.899396,2.364299,83.0,17.8,89.7,107.0
27,48.900106,2.364646,83.0,17.8,89.7,107.0
28,48.900816,2.364993,83.0,17.8,89.6,107.0
29,48.901526,2.365339,83.0,17.8,89.6,107.0
30,48.902235,2.365686,83.0,17.8,89.6,107.0
31,48.902945,2.366033,83.0,17.8,89.6,107.0
32,48.903655,2.36638,83.0,17.8,89.6,107.0
33,48.904365,2.366727,83.0,17.8,89.5,107.0
34,48.905075,2.367074,83.0,17.8,89.5,107.0
35,48.905785,2.367421,83.0,17.8,89.5,107.0
36,48.906494,2.367768,83.0,17.8,89.5,107.0
37,48.907204,2.368114,83.0,17.8,89.5,107.0
38,48.907914,2.368461,83.0,17.8,89.4,107.0
39,48.908624,2.368808,83.0,17.8,89.4,107.0
40,48.909334,2.369155,83.0,17.8,89.4,107.0
41,48.910044,2.369502,83.0,17.8,89.4,106.0
42,48.910753,2.369849,83.0,17.8,89.4,106.0
43,48.911463,2.370196,83.0,17.8,89.3,106.0
44,48.912173,2.370543,83.0,17.8,89.3,106.0
45,48.912883,2.37089,83.0,17.8,89.3,106.0
46,48.913593,2.371236,82.99,17.8,89.3,106.0
47,48.914303,2.371583,82.99,17.8,89.2,106.0
48,48.915013,2.37193,82.99,17.8,89.2,106.0
49,48.915722,2.372277,82.99,17.8,89.2,106.0
50,48.916432,2.372624,82.99,17.8,89.2,106.0
51,48.917142,2.372971,82.99,17.8,89.2,106.0
52,48.917852,2.373318,82.99,17.8,89.1,106.0
53,48.918562,2.373665,82.99,17.8,89.1,106.0
54,48.919272,2.374011,82.99,17.8,89.1,106.0
55,48.919981,2.374358,82.99,17.8,89.1,106.0
56,48.920691,2.374705,82.99,17.8,89.1,106.0
57,48.921401,2.375052,82.99,17.8,89.0,106.0
58,48.922111,2.375399,82.99,17.8,89.0,106.0
59,48.922821,2.375746,82.99,17.8,89.0,106.0
60,48.923531,2.376093,82.99,17.8,89.0,106.0
61,48.924241,2.37644,82.99,17.8,88.9,106.0
62,48.92495,2.376786,82.99,17.8,88.9,106.0
63,48.92566,2.377133,82.99,17.8,88.9,106.0
64,48.92637,2.37748,82.99,17.8,88.9,106.0
65,48.92708,2.377827,82.99,17.8,88.9,106.0
66,48.92779,2.378174,82.99,17.8,88.8,106.0
67,48.9285,2.378521,82.99,17.8,88.8,106.0
68,48.929209,2.378868,82.99,17.8,88.8,106.0
69,48.929919,2.379215,82.99,17.8,88.8,106.0
70,48.930629,2.379561,82.99,17.8,88.7,106.0
71,48.931339,2.379908,82.99,17.8,88.7,106.0
72,48.932049,2.380255,82.99,17.8,88.7,106.0
73,48.932759,2.380602,82.99,17.8,88.7,106.0
74,48.933469,2.380949,82.99,17.8,88.7,106.0
75,48.934178,2.381296,82.99,17.8,88.6,105.0
76,48.934888,2.381643,82.99,17.8,88.6,105.0
77,48.935598,2.38199,82.99,17.8,88.6,105.0
78,48.936308,2.382336,82.99,17.8,88.6,105.0
79,48.937018,2.382683,82.99,17.8,88.5,105.0
80,48.937728,2.38303,82.99,17.8,88.5,105.0
81,48.938437,2.383377,82.99,17.8,88.5,105.0
82,48.939147,2.383724,82.99,17.8,88.5,105.0
83,48.939857,2.384071,82.99,17.8,88.5,105.0
84,48.940567,2.384418,82.99,17.8,88.4,105.0
85,48.941277,2.384765,82.99,17.8,88.4,105.0
86,48.941987,2.385112,82.99,17.8,88.4,105.0
87,48.942697,2.385458,82.99,17.8,88.4,105.0
88,48.943406,2.385805,82.99,17.8,88.3,105.0
89,48.944116,2.386152,82.99,17.8,88.3,105.0
90,48.944826,2.386499,82.99,17.8,88.3,105.0
91,48.945536,2.386846,82.99,17.8,88.3,105.0
92,48.946246,2.387193,82.99,17.8,88.3,105.0
93,48.946956,2.38754,82.99,17.8,88.2,105.0
94,48.947665,2.387887,82.99,17.8,88.2,105.0
95,48.948375,2.388233,82.99,17.8,88.2,105.0
96,48.949085,2.38858,82.99,17.8,88.2,105.0
97,48.949795,2.388927,82.99,17.8,88.1,105.0
98,48.950505,2.389274,82.99,17.8,88.1,105.0
99,48.951215,2.389621,82.99,17.8,88.1,105.0
100,48.951924,2.389968,82.99,17.8,88.1,105.0
101,48.952634,2.390315,82.99,17.8,88.0,105.0
102,48.953344,2.390662,82.99,17.8,88.0,105.0
103,48.954054,2.391008,82.99,17.8,88.0,105.0
104,48.954764,2.391355,82.99,17.8,88.0,105.0
105,48.955474,2.391702,82.99,17.8,88.0,105.0
106,48.956184,2.392049,82.99,17.8,87.9,105.0
107,48.956893,2.392396,82.99,17.8,87.9,104.0
108,48.957603,2.392743,82.99,17.8,87.9,104.0
109,48.958313,2.39309,82.99,17.8,87.9,104.0
110,48.959023,2.393437,82.99,17.8,87.8,104.0
111,48.959733,2.393783,82.99,17.8,87.8,104.0
112,48.960443,2.39413,82.99,17.8,87.8,104.0
113,48.961152,2.394477,82.99,17.8,87.8,104.0
114,48.961862,2.394824,82.99,17.8,87.7,104.0
115,48.962572,2.395171,82.99,17.8,87.7,104.0
116,48.963282,2.395518,82.99,17.8,87.7,104.0
117,48.963992,2.395865,82.99,17.8,87.7,104.0
