timestamp,latitude,longitude,speed,heading,pax_load,delay_s
0,47.3235,5.0273,78.0,0.0,25.0,0.0
1,47.323483,5.028333,78.0,91.4,25.0,0.0
2,47.323465,5.029367,78.0,91.4,25.0,0.0
3,47.323448,5.0304,78.0,91.4,25.0,0.0
4,47.323431,5.031433,78.0,91.4,25.0,0.0
5,47.323413,5.032467,78.0,91.4,25.0,0.0
6,47.323396,5.0335,78.0,91.4,25.0,0.0
7,47.323378,5.034533,78.0,91.4,25.0,0.0
8,47.323361,5.035567,78.0,91.4,25.0,0.0
9,47.323344,5.0366,78.0,91.4,25.0,0.0
10,47.323326,5.037634,78.0,91.4,25.0,0.0
11,47.323309,5.038667,78.0,91.4,25.0,0.0
12,47.323292,5.0397,78.0,91.4,25.0,0.0
13,47.323274,5.040734,78.0,91.4,25.0,0.0
14,47.323257,5.041767,78.0,91.4,25.0,0.0
15,47.32324,5.0428,78.0,91.4,25.0,0.0
16,47.323222,5.043834,78.0,91.4,25.0,0.0
17,47.323205,5.044867,78.0,91.4,25.0,0.0
18,47.323188,5.0459,78.0,91.4,25.0,0.0
19,47.32317,5.046934,78.0,91.4,25.0,0.0
20,47.323153,5.047967,78.0,91.4,25.0,0.0
21,47.323135,5.049,78.0,91.4,25.0,0.0
22,47.323118,5.050034,78.0,91.4,25.0,0.0
23,47.323101,5.051067,78.0,91.4,25.0,0.0
24,47.323083,5.052101,78.0,91.4,25.0,0.0
25,47.323066,5.053134,78.0,91.4,25.0,0.0
26,47.323049,5.054167,78.0,91.4,25.0,0.0
27,47.323031,5.055201,78.0,91.4,25.0,0.0
28,47.323014,5.056234,78.0,91.4,25.0,0.0
29,47.322997,5.057267,78.0,91.4,25.0,0.0
30,47.322979,5.058301,78.0,91.4,25.0,0.0
31,47.322962,5.059334,78.0,91.4,25.0,0.0
32,47.322945,5.060367,78.0,91.4,25.0,0.0
33,47.322927,5.061401,78.0,91.4,25.0,0.0
34,47.32291,5.062434,78.0,91.4,25.0,0.0
35,47.322892,5.063467,78.0,91.4,25.0,0.0
36,47.322875,5.064501,78.0,91.4,25.0,0.0
37,47.322858,5.065534,78.0,91.4,25.0,0.0
38,47.32284,5.066567,78.0,91.4,25.0,0.0
39,47.322823,5.067601,78.0,91.4,25.0,0.0
40,47.322806,5.068634,78.0,91.4,25.0,0.0
41,47.322788,5.069668,78.0,91.4,25.0,0.0
42,47.322771,5.070701,78.0,91.4,25.0,0.0
43,47.322754,5.071734,78.0,91.4,25.0,0.0
44,47.322736,5.072768,78.0,91.4,25.0,0.0
45,47.322719,5.073801,78.0,91.4,25.0,0.0
46,47.322702,5.074834,78.0,91.4,25.0,0.0
47,47.322684,5.075868,78.0,91.4,25.0,0.0
48,47.322667,5.076901,78.0,91.4,25.0,0.0
49,47.322649,5.077934,78.0,91.4,25.0,0.0
50,47.322632,5.078968,78.0,91.4,25.0,0.0
51,47.322615,5.080001,78.0,91.4,25.0,0.0
52,47.322597,5.081034,78.0,91.4,25.0,0.0
53,47.32258,5.082068,78.0,91.4,25.0,0.0
54,47.322563,5.083101,78.0,91.4,25.0,0.0
55,47.322545,5.084134,78.0,91.4,25.0,0.0
56,47.322528,5.085168,78.0,91.4,25.0,0.0
57,47.322511,5.086201,78.0,91.4,25.0,0.0
58,47.322493,5.087235,78.0,91.4,25.0,0.0
59,47.322476,5.088268,78.0,91.4,25.0,0.0
60,47.322459,5.089301,78.0,91.4,25.1,0.0
61,47.322441,5.090335,78.0,91.4,25.1,0.0
62,47.322424,5.091368,78.0,91.4,25.1,0.0
63,47.322406,5.092401,78.0,91.4,25.1,0.0
64,47.322389,5.093435,78.0,91.4,25.1,0.0
65,47.322372,5.094468,78.0,91.4,25.1,0.0
66,47.322354,5.095501,78.0,91.4,25.1,0.0
67,47.322337,5.096535,78.0,91.4,25.1,0.0
68,47.32232,5.097568,78.0,91.4,25.1,0.0
69,47.322302,5.098601,78.0,91.4,25.1,0.0
70,47.322285,5.099635,78.0,91.4,25.1,0.0
71,47.322268,5.100668,78.0,91.4,25.1,0.0
72,47.32225,5.101702,78.0,91.4,25.1,0.0
73,47.322233,5.102735,78.0,91.4,25.1,0.0
74,47.322216,5.103768,78.0,91.4,25.1,0.0
75,47.322198,5.104802,78.0,91.4,25.1,0.0
76,47.322181,5.105835,78.0,91.4,25.1,0.0
77,47.322163,5.106868,78.0,91.4,25.1,0.0
78,47.322146,5.107902,78.0,91.4,25.1,0.0
79,47.322129,5.108935,78.0,91.4,25.1,0.0
80,47.322111,5.109968,78.0,91.4,25.1,0.0
81,47.322094,5.111002,78.0,91.4,25.1,0.0
82,47.322077,5.112035,78.0,91.4,25.1,0.0
83,47.322059,5.113068,78.0,91.4,25.1,0.0
84,47.322042,5.114102,78.0,91.4,25.1,0.0
85,47.322025,5.115135,78.0,91.4,25.1,0.0
86,47.322007,5.116168,78.0,91.4,25.1,0.0
87,47.32199,5.117202,78.0,91.4,25.1,0.0
88,47.321973,5.118235,78.0,91.4,25.1,0.0
89,47.321955,5.119269,78.0,91.4,25.1,0.0
90,47.321938,5.120302,78.0,91.4,25.1,0.0
91,47.32192,5.121335,78.0,91.4,25.1,0.0
92,47.321903,5.122369,78.0,91.4,25.1,0.0
93,47.321886,5.123402,78.0,91.4,25.1,0.0
94,47.321868,5.124435,78.0,91.4,25.1,0.0
95,47.321851,5.125469,78.0,91.4,25.2,0.0
96,47.321834,5.126502,78.0,91.4,25.2,0.0
97,47.321816,5.127535,78.0,91.4,25.2,0.0
98,47.321799,5.128569,78.0,91.4,25.2,0.0
99,47.321782,5.129602,78.0,91.4,25.2,0.0
100,47.321764,5.130635,78.0,91.4,25.2,0.0
101,47.321747,5.131669,78.0,91.4,25.2,0.0
102,47.321729,5.132702,78.0,91.4,25.2,0.0
103,47.321712,5.133735,78.0,91.4,25.2,0.0
104,47.321695,5.134769,78.0,91.4,25.2,0.0
105,47.321677,5.135802,78.0,91.4,25.2,0.0
106,47.32166,5.136836,78.0,91.4,25.2,0.0
107,47.321643,5.137869,78.0,91.4,25.2,0.0
108,47.321625,5.138902,78.0,91.4,25.2,0.0
109,47.321608,5.139936,78.0,91.4,25.2,0.0
110,47.321591,5.140969,78.0,91.4,25.2,0.0
111,47.321573,5.142002,78.0,91.4,25.2,0.0
112,47.321556,5.143036,78.0,91.4,25.2,0.0
113,47.321539,5.144069,78.0,91.4,25.2,0.0
114,47.321521,5.145102,78.0,91.4,25.2,0.0
115,47.321504,5.146136,78.0,91.4,25.2,0.0
116,47.321486,5.147169,78.0,91.4,25.2,0.0
117,47.321469,5.148202,78.0,91.4,25.2,0.0
118,47.321452,5.149236,78.0,91.4,25.2,0.0
119,47.321434,5.150269,78.0,91.4,25.3,0.0
120,47.321417,5.151303,78.0,91.4,25.3,0.0
121,47.3214,5.152336,78.0,91.4,25.3,0.0
122,47.321382,5.153369,78.0,91.4,25.3,0.0
123,47.321365,5.154403,78.0,91.4,25.3,0.0
124,47.321348,5.155436,78.0,91.4,25.3,0.0
125,47.32133,5.156469,78.0,91.4,25.3,0.0
126,47.321313,5.157503,78.0,91.4,25.3,0.0
127,47.321296,5.158536,78.0,91.4,25.3,0.0
128,47.321278,5.159569,78.0,91.4,25.3,0.0
129,47.321261,5.160603,78.0,91.4,25.3,0.0
130,47.321243,5.161636,78.0,91.4,25.3,0.0
131,47.321226,5.162669,78.0,91.4,25.3,0.0
132,47.321209,5.163703,78.0,91.4,25.3,0.0
133,47.321191,5.164736,78.0,91.4,25.3,0.0
134,47.321174,5.165769,78.0,91.4,25.3,0.0
135,47.321157,5.166803,78.0,91.4,25.3,0.0
136,47.321139,5.167836,78.0,91.4,25.3,0.0
137,47.321122,5.16887,78.0,91.4,25.3,0.0
138,47.321105,5.169903,78.0,91.4,25.3,0.0
139,47.321087,5.170936,78.0,91.4,25.4,0.0
140,47.32107,5.17197,78.0,91.4,25.4,0.0
141,47.321053,5.173003,78.0,91.4,25.4,0.0
142,47.321035,5.174036,78.0,91.4,25.4,0.0
143,47.321018,5.17507,78.0,91.4,25.4,0.0
144,47.321,5.176103,78.0,91.4,25.4,0.0
145,47.320983,5.177136,78.0,91.4,25.4,0.0
146,47.320966,5.17817,78.0,91.4,25.4,0.0
147,47.320948,5.179203,78.0,91.4,25.4,0.0
148,47.320931,5.180236,78.0,91.4,25.4,0.0
149,47.320914,5.18127,78.0,91.4,25.4,0.0
150,47.320896,5.182303,78.0,91.4,25.4,0.0
151,47.320879,5.183337,78.0,91.4,25.4,0.0
152,47.320862,5.18437,78.0,91.4,25.4,0.0
153,47.320844,5.185403,78.0,91.4,25.4,0.0
154,47.320827,5.186437,78.0,91.4,25.4,0.0
